date,visitor_team,visitor_pts,home_team,home_pts
2024-11-24,Los Angeles Clippers,,Philadelphia 76ers,
2024-11-24,Toronto Raptors,,Cleveland Cavaliers,
2024-11-24,Brooklyn Nets,,Sacramento Kings,
2024-11-25,Orlando Magic,,Charlotte Hornets,
2024-11-25,Toronto Raptors,,Detroit Pistons,
2024-11-25,New Orleans Pelicans,,Indiana Pacers,
2024-11-25,Dallas Mavericks,,Atlanta Hawks,
2024-11-25,Los Angeles Clippers,,Boston Celtics,
2024-11-25,Portland Trail Blazers,,Memphis Grizzlies,
2024-11-25,New York Knicks,,Denver Nuggets,
2024-11-25,Brooklyn Nets,,Golden State Warriors,
2024-11-25,Oklahoma City Thunder,,Sacramento Kings,
2024-11-26,Chicago Bulls,,Washington Wizards,
2024-11-26,Milwaukee Bucks,,Miami Heat,
2024-11-26,Houston Rockets,,Minnesota Timberwolves,
2024-11-26,San Antonio Spurs,,Utah Jazz,
2024-11-26,Los Angeles Lakers,,Phoenix Suns,
2024-11-27,Miami Heat,,Charlotte Hornets,
2024-11-27,Atlanta Hawks,,Cleveland Cavaliers,
2024-11-27,Portland Trail Blazers,,Indiana Pacers,
2024-11-27,Chicago Bulls,,Orlando Magic,
2024-11-27,Houston Rockets,,Philadelphia 76ers,
2024-11-27,Los Angeles Clippers,,Washington Wizards,
2024-11-27,New York Knicks,,Dallas Mavericks,
2024-11-27,Detroit Pistons,,Memphis Grizzlies,
2024-11-27,Sacramento Kings,,Minnesota Timberwolves,
2024-11-27,Toronto Raptors,,New Orleans Pelicans,
2024-11-27,Los Angeles Lakers,,San Antonio Spurs,
2024-11-27,Brooklyn Nets,,Phoenix Suns,
2024-11-27,Denver Nuggets,,Utah Jazz,
2024-11-27,Oklahoma City Thunder,,Golden State Warriors,
2024-11-29,New York Knicks,,Charlotte Hornets,
2024-11-29,Cleveland Cavaliers,,Atlanta Hawks,
2024-11-29,New Orleans Pelicans,,Memphis Grizzlies,
2024-11-29,Orlando Magic,,Brooklyn Nets,
2024-11-29,Los Angeles Clippers,,Minnesota Timberwolves,
2024-11-29,Boston Celtics,,Chicago Bulls,
2024-11-29,Detroit Pistons,,Indiana Pacers,
2024-11-29,Toronto Raptors,,Miami Heat,
2024-11-29,Oklahoma City Thunder,,Los Angeles Lakers,
2024-11-29,Sacramento Kings,,Portland Trail Blazers,
2024-11-30,Atlanta Hawks,,Charlotte Hornets,
2024-11-30,Philadelphia 76ers,,Detroit Pistons,
2024-11-30,Washington Wizards,,Milwaukee Bucks,
2024-11-30,Golden State Warriors,,Phoenix Suns,
2024-11-30,Dallas Mavericks,,Utah Jazz,
